index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
1060,1.345e+15,,1.5861e-10,1.0294e-12,54559.244931,54559.244931,uv
1061,1.345e+15,,1.8478e-10,1.1513e-12,55345.946655,55345.946655,uv
1062,1.345e+15,,1.5121e-10,9.5334e-13,54913.941308,54913.941308,uv
1063,1.345e+15,,1.849e-10,1.2831e-12,54965.065405,54965.065405,uv
1064,1.345e+15,,1.6472e-10,1.2525e-12,55216.330706,55216.330706,uv
1065,1.345e+15,,1.7957e-10,1.4574e-12,54512.454954,54512.454954,uv
1066,1.345e+15,,1.2559e-10,1.025e-12,54885.614086,54885.614086,uv
1067,1.345e+15,,2.1273e-10,1.091e-12,54593.179236,54593.179236,uv
1068,1.345e+15,,1.5312e-10,1.0099e-12,55319.863044,55319.863044,uv
1069,1.345e+15,,1.5825e-10,1.0338e-12,55250.317049,55250.317049,uv
1070,1.345e+15,,1.0344e-10,8.0566e-13,55293.34691,55293.34691,uv
1071,1.345e+15,,1.5899e-10,9.8379e-13,54914.943484,54914.943484,uv
1072,1.345e+15,,1.9163e-10,1.2854e-12,55180.241007,55180.241007,uv
1073,1.345e+15,,2.1552e-10,2.6189e-12,54975.033623,54975.033623,uv
1074,1.345e+15,,1.6883e-10,1.1116e-12,55223.278368,55223.278368,uv
1075,1.345e+15,,1.5174e-10,1.0291e-12,54928.868345,54928.868345,uv
1076,1.345e+15,,1.0523e-10,8.1396e-13,55290.006042,55290.006042,uv
1077,1.345e+15,,2.1674e-10,1.2821e-12,54594.924664,54594.924664,uv
1078,1.345e+15,,1.4045e-10,9.5313e-13,55261.974132,55261.974132,uv
1079,1.345e+15,,1.6476e-10,1.1863e-12,55266.992766,55266.992766,uv
1080,1.157e+15,,1.9417e-10,8.6215e-13,55213.31191,55213.31191,uv
1081,1.157e+15,,1.5212e-10,9.3725e-13,54512.11287,54512.11287,uv
1082,1.157e+15,,1.3591e-10,9.51e-13,55265.983877,55265.983877,uv
1083,1.157e+15,,2.3773e-10,1.2998e-12,55196.434282,55196.434282,uv
1084,1.157e+15,,1.4723e-10,1.0052e-12,55240.011667,55240.011667,uv
1085,1.157e+15,,2.0104e-10,1.172e-12,55212.374919,55212.374919,uv
1086,1.157e+15,,1.2482e-10,7.7821e-13,55321.874595,55321.874595,uv
1087,1.157e+15,,1.3821e-10,7.6779e-13,54510.38184,54510.38184,uv
1088,1.157e+15,,1.4745e-10,5.7868e-13,55245.292234,55245.292234,uv
1089,1.157e+15,,1.3538e-10,1.0713e-12,55309.147303,55309.147303,uv
1090,1.157e+15,,1.4024e-10,9.9157e-13,55333.028889,55333.028889,uv
1091,1.157e+15,,1.3992e-10,1.0076e-12,55326.890752,55326.890752,uv
1092,1.157e+15,,1.4151e-10,9.388e-13,55238.07,55238.07,uv
1093,1.157e+15,,1.695e-10,9.2946e-13,54508.099803,54508.099803,uv
1094,1.157e+15,,1.7057e-10,9.9348e-13,55243.03228,55243.03228,uv
1095,1.157e+15,,1.4843e-10,9.808e-13,55276.018507,55276.018507,uv
1096,1.157e+15,,1.4161e-10,1.0127e-12,55312.159988,55312.159988,uv
1097,1.157e+15,,1.2991e-10,7.3719e-13,54948.884873,54948.884873,uv
1098,1.157e+15,,2.0069e-10,1.2836e-12,55211.856181,55211.856181,uv
1099,1.157e+15,,1.7207e-10,1.1228e-12,55215.335914,55215.335914,uv
1100,1.157e+15,,1.1706e-10,1.1753e-12,55253.193993,55253.193993,uv
1101,1.157e+15,,1.3673e-10,5.8221e-13,55246.368171,55246.368171,uv
1102,1.157e+15,,1.3216e-10,9.4015e-13,54558.038252,54558.038252,uv
1103,1.157e+15,,1.5194e-10,9.428e-13,55348.961111,55348.961111,uv
1104,1.157e+15,,1.0241e-10,3.5397e-13,54805.118021,54805.118021,uv
1105,1.157e+15,,1.4301e-10,9.3064e-13,55219.34941,55219.34941,uv
1106,1.157e+15,,1.2831e-10,9.819e-13,55330.89559,55330.89559,uv
1107,1.157e+15,,1.364e-10,9.3212e-13,55227.171956,55227.171956,uv
1108,1.157e+15,,8.8464e-11,7.7758e-13,55291.072095,55291.072095,uv
1109,1.157e+15,,1.7028e-10,1.1002e-12,54594.265833,54594.265833,uv
1110,1.157e+15,,1.3557e-10,1.0167e-12,54561.251146,54561.251146,uv
1111,1.157e+15,,1.2836e-10,9.494e-13,54939.028461,54939.028461,uv
1112,1.157e+15,,1.2667e-10,7.8221e-13,55318.863472,55318.863472,uv
1113,1.157e+15,,1.645e-10,1.0514e-12,54978.921273,54978.921273,uv
1114,1.157e+15,,1.1343e-10,7.7167e-13,54924.990278,54924.990278,uv
1115,1.157e+15,,1.3576e-10,8.9507e-13,55322.873877,55322.873877,uv
1116,1.157e+15,,1.1389e-10,7.7301e-13,54950.96544,54950.96544,uv
1117,1.157e+15,,1.4237e-10,7.4357e-13,55351.903067,55351.903067,uv
1118,1.157e+15,,9.7401e-11,6.8828e-13,55294.009676,55294.009676,uv
1119,1.157e+15,,1.5572e-10,9.3608e-13,55232.052396,55232.052396,uv
1120,1.157e+15,,1.5106e-10,4.5785e-13,53742.409063,53742.409063,uv
1121,1.157e+15,,1.9868e-10,1.2462e-12,54973.162836,54973.162836,uv
1122,1.157e+15,,1.362e-10,8.733e-13,54559.926389,54559.926389,uv
1123,1.157e+15,,1.0045e-10,6.782e-13,55360.0689,55360.0689,uv
1124,1.157e+15,,1.118e-10,8.2686e-13,54954.964676,54954.964676,uv
1125,1.157e+15,,1.4706e-10,8.2852e-13,54511.109606,54511.109606,uv
1126,1.157e+15,,1.4281e-10,7.5407e-13,54937.019306,54937.019306,uv
1127,1.157e+15,,1.084e-10,6.9638e-13,55365.913727,55365.913727,uv
1128,1.157e+15,,1.8993e-10,1.1566e-12,55186.148727,55186.148727,uv
1129,1.157e+15,,1.0276e-10,7.7166e-13,55286.065903,55286.065903,uv
1130,1.157e+15,,1.1185e-10,6.3463e-13,55154.432535,55154.432535,uv
1131,1.157e+15,,1.1138e-10,6.7515e-13,55382.749988,55382.749988,uv
1132,1.157e+15,,1.455e-10,9.0654e-13,55220.281609,55220.281609,uv
1133,1.157e+15,,1.5599e-10,9.693e-13,55325.95566,55325.95566,uv
1134,1.157e+15,,1.3637e-10,8.4443e-13,54560.181933,54560.181933,uv
1135,1.157e+15,,1.0937e-10,4.7624e-13,54569.214213,54569.214213,uv
1136,1.157e+15,,1.3508e-10,6.9418e-13,53737.462778,53737.462778,uv
1137,1.157e+15,,1.1352e-10,6.1409e-13,54567.072558,54567.072558,uv
1138,1.157e+15,,1.2666e-10,7.5821e-13,54944.192512,54944.192512,uv
1139,1.157e+15,,1.0128e-10,9.8556e-13,55299.03463,55299.03463,uv
1140,1.157e+15,,1.2233e-10,5.6636e-13,54566.002361,54566.002361,uv
1141,1.157e+15,,1.2824e-10,8.7091e-13,55323.876701,55323.876701,uv
1142,1.157e+15,,1.8099e-10,1.1974e-12,54968.955671,54968.955671,uv
