index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
67,9.968e+17,1.424e+17,3.1235e-10,2.708e-12,51673.16215,51676.33937,xray
68,1.329e+18,1.899e+17,3.0504e-10,3.629e-12,51673.16215,51676.33937,xray
69,1.772e+18,2.533e+17,2.9206e-10,5.067e-12,51673.16215,51676.33937,xray
70,2.363e+18,3.377e+17,2.8053e-10,8.1894e-12,51673.16215,51676.33937,xray
71,3.151e+18,4.503e+17,2.4203e-10,4.2741e-12,51673.16215,51676.33937,xray
72,4.202e+18,6.005e+17,2.2633e-10,2.8939e-12,51673.16215,51676.33937,xray
73,5.603e+18,8.007e+17,2.0103e-10,3.1753e-12,51673.16215,51676.33937,xray
74,7.472e+18,1.068e+18,1.7092e-10,4.4067e-12,51673.16215,51676.33937,xray
75,9.963e+18,1.424e+18,1.4839e-10,5.9527e-12,51673.16215,51676.33937,xray
76,1.328e+19,1.898e+18,1.2623e-10,8.9504e-12,51673.16215,51676.33937,xray
77,1.771e+19,2.531e+18,8.0833e-11,9.5255e-12,51673.16215,51676.33937,xray
78,2.362e+19,3.375e+18,7.1796e-11,1.1499e-11,51673.16215,51676.33937,xray
79,3.15e+19,4.501e+18,5.7304e-11,1.9823e-11,51673.16215,51676.33937,gammaray
80,1.057e+17,1.649e+16,2.1709e-10,1.0742e-11,50924.07815,50925.13458,xray
81,1.448e+17,2.258e+16,2.1526e-10,6.3065e-12,50924.07815,50925.13458,xray
82,1.983e+17,3.092e+16,2.1451e-10,4.6153e-12,50924.07815,50925.13458,xray
83,2.716e+17,4.234e+16,2.0751e-10,4.0938e-12,50924.07815,50925.13458,xray
84,3.719e+17,5.798e+16,1.9127e-10,4.0518e-12,50924.07815,50925.13458,xray
85,5.092e+17,7.939e+16,1.7044e-10,3.5686e-12,50924.07815,50925.13458,xray
86,6.974e+17,1.087e+17,1.4553e-10,3.168e-12,50924.07815,50925.13458,xray
87,9.549e+17,1.489e+17,1.184e-10,3.1528e-12,50924.07815,50925.13458,xray
88,1.308e+18,2.039e+17,9.5931e-11,3.8651e-12,50924.07815,50925.13458,xray
89,1.791e+18,2.792e+17,7.2636e-11,5.1181e-12,50924.07815,50925.13458,xray
90,2.452e+18,3.823e+17,6.261e-11,8.0042e-12,50924.07815,50925.13458,xray
91,3.358e+18,5.235e+17,2.5838e-11,7.7641e-12,50924.07815,50925.13458,xray
92,4.599e+18,7.169e+17,2.5669e-11,5.0278e-12,50924.07815,50925.13458,xray
93,6.297e+18,9.818e+17,2.2017e-11,6.7268e-12,50924.07815,50925.13458,xray
94,8.623e+18,1.344e+18,2.0682e-11,6.8697e-12,50924.07815,50925.13458,xray
95,1.181e+19,1.841e+18,1.9296e-11,8.9184e-12,50924.07815,50925.13458,xray
96,1.617e+19,2.521e+18,2.6615e-11,1.2502e-11,50924.07815,50925.13458,xray
97,1.395e+17,2.077e+16,2.2181e-10,1.0168e-11,50986.30302,50987.09852,xray
98,1.883e+17,2.805e+16,2.297e-10,7.1319e-12,50986.30302,50987.09852,xray
99,2.542e+17,3.786e+16,2.2822e-10,6.2857e-12,50986.30302,50987.09852,xray
100,3.432e+17,5.111e+16,2.225e-10,6.302e-12,50986.30302,50987.09852,xray
101,4.633e+17,6.901e+16,2.1141e-10,3.9655e-12,50986.30302,50987.09852,xray
102,6.255e+17,9.316e+16,1.9118e-10,4.0048e-12,50986.30302,50987.09852,xray
103,8.444e+17,1.258e+17,1.672e-10,3.5686e-12,50986.30302,50987.09852,xray
104,1.14e+18,1.698e+17,1.4428e-10,4.2425e-12,50986.30302,50987.09852,xray
105,1.539e+18,2.292e+17,1.2237e-10,5.5256e-12,50986.30302,50987.09852,xray
106,2.078e+18,3.094e+17,1.0208e-10,8.3187e-12,50986.30302,50987.09852,xray
107,2.805e+18,4.177e+17,9.6359e-11,1.1996e-11,50986.30302,50987.09852,xray
108,3.787e+18,5.64e+17,5.9571e-11,8.3832e-12,50986.30302,50987.09852,xray
109,5.112e+18,7.614e+17,3.8715e-11,7.3071e-12,50986.30302,50987.09852,xray
110,6.901e+18,1.028e+18,3.493e-11,9.554e-12,50986.30302,50987.09852,xray
111,9.316e+18,1.388e+18,2.3513e-11,9.0173e-12,50986.30302,50987.09852,xray
112,1.057e+17,1.649e+16,2.7281e-10,1.2563e-11,50926.01889,50927.27574,xray
113,1.448e+17,2.258e+16,2.7722e-10,7.5155e-12,50926.01889,50927.27574,xray
114,1.983e+17,3.092e+16,2.896e-10,5.6571e-12,50926.01889,50927.27574,xray
115,2.716e+17,4.234e+16,2.9534e-10,5.161e-12,50926.01889,50927.27574,xray
116,3.719e+17,5.798e+16,2.8323e-10,5.2405e-12,50926.01889,50927.27574,xray
117,5.092e+17,7.939e+16,2.6697e-10,4.8317e-12,50926.01889,50927.27574,xray
118,6.974e+17,1.087e+17,2.3872e-10,4.3881e-12,50926.01889,50927.27574,xray
119,9.549e+17,1.489e+17,2.0487e-10,4.4879e-12,50926.01889,50927.27574,xray
120,1.308e+18,2.039e+17,1.7373e-10,5.6112e-12,50926.01889,50927.27574,xray
121,1.791e+18,2.792e+17,1.4627e-10,7.8279e-12,50926.01889,50927.27574,xray
122,2.452e+18,3.823e+17,1.2878e-10,1.208e-11,50926.01889,50927.27574,xray
123,3.358e+18,5.235e+17,8.6974e-11,1.0381e-11,50926.01889,50927.27574,xray
124,4.599e+18,7.169e+17,6.1555e-11,6.7861e-12,50926.01889,50927.27574,xray
125,6.297e+18,9.818e+17,3.6709e-11,9.0295e-12,50926.01889,50927.27574,xray
126,8.623e+18,1.344e+18,3.618e-11,1.2949e-11,50926.01889,50927.27574,xray
127,1.057e+17,1.649e+16,1.9889e-10,8.0292e-12,51302.76176,51306.14015,xray
128,1.448e+17,2.258e+16,1.8791e-10,4.4619e-12,51302.76176,51306.14015,xray
129,1.983e+17,3.092e+16,1.7989e-10,3.1882e-12,51302.76176,51306.14015,xray
130,2.716e+17,4.234e+16,1.6734e-10,2.7648e-12,51302.76176,51306.14015,xray
131,3.719e+17,5.798e+16,1.4244e-10,2.4814e-12,51302.76176,51306.14015,xray
132,5.092e+17,7.939e+16,1.2157e-10,1.7201e-12,51302.76176,51306.14015,xray
