index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
966,7.646e+16,,5.6715e-11,3.99e-12,46036.792969,46036.792969,xray
967,7.646e+16,,1.8151e-11,1.8155e-12,46206.710938,46206.710938,xray
968,7.646e+16,,5.763e-11,2.1113e-12,46183.8125,46183.8125,xray
969,7.646e+16,,4.5343e-11,1.9979e-12,46196.960938,46196.960938,xray
970,7.646e+16,,3.7041e-11,1.83e-12,46206.628906,46206.628906,xray
971,7.646e+16,,2.5123e-11,2.6275e-12,46177.386719,46177.386719,xray
972,7.646e+16,,7.4664e-11,2.6355e-12,46177.230469,46177.230469,xray
973,7.646e+16,,1.1441e-10,4.0946e-12,46037.859375,46037.859375,xray
974,7.646e+16,,5.6509e-11,2.4843e-12,46177.3125,46177.3125,xray
975,7.646e+16,,1.4992e-10,5.6907e-12,46037.824219,46037.824219,xray
976,7.646e+16,,5.2146e-11,1.9469e-12,46206.546875,46206.546875,xray
977,7.646e+16,,1.8638e-11,1.937e-12,46197.046875,46197.046875,xray
978,8.376e+17,,2.714e-10,1.6962e-11,,,xray
979,8.376e+17,,3.7105e-11,2.4737e-12,,,xray
980,1.081e+18,,3.3431e-10,7.9522e-12,53647.181157,54416.616076,xray
981,3.419e+17,,5.0529e-10,7.8909e-12,53647.181157,54416.616076,xray
982,4.188e+17,,5.2113e-10,4.4025e-12,53647.181157,54416.616076,xray
983,1.325e+17,,5.4379e-10,6.516e-12,53647.181157,54416.616076,xray
2961,3.75e+16,,1.78e-10,4e-12,,,xray
