index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
3473,37000000000.0,,1.221e-13,2.96e-14,53222.819,53222.8352037,millimeter
3474,37000000000.0,,1.332e-13,2.22e-14,53250.438,53250.4542037,millimeter
3475,37000000000.0,,1.961e-13,3.33e-14,53133.677,53133.6932037,millimeter
3476,37000000000.0,,1.628e-13,2.59e-14,53134.001,53134.0172037,millimeter
3477,37000000000.0,,2.442e-13,2.96e-14,53133.972,53133.9882037,millimeter
3478,37000000000.0,,2.294e-13,2.22e-14,53133.91,53133.9262037,millimeter
3479,37000000000.0,,2.405e-13,2.96e-14,53134.622,53134.6382037,millimeter
3480,37000000000.0,,1.998e-13,1.85e-14,53133.875,53133.8912037,millimeter
3481,37000000000.0,,1.924e-13,1.85e-14,53133.76,53133.7762037,millimeter
3482,37000000000.0,,2.405e-13,2.59e-14,53133.729,53133.7452037,millimeter
3483,37000000000.0,,2.479e-13,4.07e-14,53149.523,53149.5392037,millimeter
3484,37000000000.0,,1.961e-13,4.81e-14,53161.67,53161.6862037,millimeter
3485,37000000000.0,,1.998e-13,2.96e-14,53162.823,53162.8392037,millimeter
3486,37000000000.0,,2.183e-13,2.22e-14,53148.735,53148.7512037,millimeter
3487,37000000000.0,,2.183e-13,2.59e-14,53134.733,53134.7492037,millimeter
3488,37000000000.0,,1.776e-13,2.22e-14,53134.681,53134.6972037,millimeter
3489,37000000000.0,,1.48e-13,,53423.913,53423.9292037,millimeter
3490,37000000000.0,,1.184e-13,,53409.844,53409.8602037,millimeter
3491,37000000000.0,,7.4e-14,,53336.158,53336.1742037,millimeter
3492,37000000000.0,,1.036e-13,,53444.806,53444.8222037,millimeter
3493,37000000000.0,,2.072e-13,,53359.965,53359.9812037,millimeter
3494,37000000000.0,,1.184e-13,,53399.868,53399.8842037,millimeter
3495,37000000000.0,,1.184e-13,,53360.05,53360.0662037,millimeter
3496,37000000000.0,,8.88e-14,,53360.105,53360.1212037,millimeter
3497,37000000000.0,,1.184e-13,,53360.02,53360.0362037,millimeter
3498,37000000000.0,,1.184e-13,,53364.337,53364.3532037,millimeter
3499,37000000000.0,,8.88e-14,,53384.864,53384.8802037,millimeter
3500,37000000000.0,,1.332e-13,,53427.806,53427.8222037,millimeter
3501,37000000000.0,,1.628e-13,,52655.903,52655.9192037,millimeter
3502,37000000000.0,,2.516e-13,,52630.068,52630.0842037,millimeter
3503,37000000000.0,,2.664e-13,,52638.326,52638.3422037,millimeter
3504,37000000000.0,,2.368e-13,,52607.969,52607.9852037,millimeter
3505,37000000000.0,,1.924e-13,,52555.264,52555.2802037,millimeter
3506,37000000000.0,,2.516e-13,,52490.375,52490.3912037,millimeter
3507,37000000000.0,,1.628e-13,,53447.836,53447.8522037,millimeter
3508,37000000000.0,,1.924e-13,,53093.806,53093.8222037,millimeter
3509,37000000000.0,,1.924e-13,,53132.567,53132.5832037,millimeter
3510,37000000000.0,,2.96e-13,,53133.507,53133.5232037,millimeter
3511,37000000000.0,,1.48e-13,,52753.681,52753.6972037,millimeter
3512,37000000000.0,,2.368e-13,,52738.028,52738.0442037,millimeter
3513,37000000000.0,,1.184e-13,,52723.767,52723.7832037,millimeter
3514,37000000000.0,,2.96e-13,,52724.708,52724.7242037,millimeter
3515,37000000000.0,,1.776e-13,,52766.67,52766.6862037,millimeter
3516,37000000000.0,,2.96e-13,,52827.512,52827.5282037,millimeter
3517,37000000000.0,,1.184e-13,,52711.736,52711.7522037,millimeter
3518,37000000000.0,,2.072e-13,,52756.604,52756.6202037,millimeter
3519,37000000000.0,,1.332e-13,,53209.347,53209.3632037,millimeter
3520,37000000000.0,,1.036e-13,,53334.997,53335.0132037,millimeter
3521,37000000000.0,,2.664e-13,,53208.41,53208.4262037,millimeter
3522,37000000000.0,,1.628e-13,,53207.453,53207.4692037,millimeter
3523,37000000000.0,,1.776e-13,,53195.405,53195.4212037,millimeter
3524,37000000000.0,,1.776e-13,,53194.484,53194.5002037,millimeter
3525,37000000000.0,,1.48e-13,,53133.635,53133.6512037,millimeter
3526,37000000000.0,,1.48e-13,,53294.24,53294.2562037,millimeter
3527,37000000000.0,,1.184e-13,,53282.254,53282.2702037,millimeter
3528,37000000000.0,,1.48e-13,,53306.161,53306.1772037,millimeter
3529,37000000000.0,,1.628e-13,,53242.397,53242.4132037,millimeter
3530,37000000000.0,,2.516e-13,,53224.435,53224.4512037,millimeter
3531,37000000000.0,,2.664e-13,,53318.103,53318.1192037,millimeter
3532,37000000000.0,,1.48e-13,,53151.573,53151.5892037,millimeter
3533,37000000000.0,,2.22e-13,,53160.521,53160.5372037,millimeter
